kategoria_en,oznaczenie_kwartalu,ocen_5
tablets_printing_image,Q3-2017,5
tablets_printing_image,Q4-2017,8
telephony,Q1-2017,121
telephony,Q1-2018,512
telephony,Q2-2017,299
telephony,Q2-2018,423
telephony,Q3-2017,250
telephony,Q3-2018,290
telephony,Q4-2016,5
telephony,Q4-2017,416
toys,Q1-2017,109
toys,Q1-2018,287
toys,Q2-2017,312
toys,Q2-2018,407
toys,Q3-2017,404
toys,Q3-2018,245
toys,Q4-2016,12
toys,Q4-2017,731
watches_gifts,Q1-2017,60
watches_gifts,Q1-2018,506
watches_gifts,Q2-2017,189
watches_gifts,Q2-2018,979
watches_gifts,Q3-2017,356
watches_gifts,Q3-2018,615
watches_gifts,Q4-2016,3
watches_gifts,Q4-2017,619
